
Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
URB,0080-0079,16:41:11.659,4.791261 s,365 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00 69 00 76 00...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,Success (Success),26 03 52 00 69 00 76 00 61 00 6C 00 20 00 47 00 61 00 6D 00 69 00 6E 00 67 00 20 00 4D 00 6F 00 75 00 73 00 65 00
PnP,0081,16:41:11.659,4.791333 s,,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B7A5720h,
PnP,0082,16:41:11.659,4.791336 s,,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B7A5720h,
PnP,0083-0082,16:41:11.659,4.791338 s,2 us,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B7A5720h,Success
PnP,0084-0081,16:41:11.659,4.791340 s,7 us,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B7A5720h,Success
PnP,0085,16:41:11.659,4.791657 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB94C10h,
PnP,0086,16:41:11.659,4.791660 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB94C10h,
PnP,0087-0086,16:41:11.659,4.791663 s,3 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB94C10h,Success
PnP,0088-0085,16:41:11.659,4.791664 s,7 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB94C10h,Success
PnP,0089,16:41:11.659,4.791687 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA80099FB010h,
PnP,0090,16:41:11.659,4.791689 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80099FB010h,
PnP,0091-0090,16:41:11.659,4.791690 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80099FB010h,Success
PnP,0092-0089,16:41:11.659,4.791692 s,5 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA80099FB010h,Success
PnP,0093,16:41:11.659,4.791711 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABB1C10h,
PnP,0094,16:41:11.659,4.791713 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABB1C10h,
PnP,0095-0094,16:41:11.659,4.791715 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABB1C10h,Success
PnP,0096-0093,16:41:11.659,4.791716 s,5 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABB1C10h,Success
URB,0097,16:41:11.659,4.791726 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,
URB,0098-0097,16:41:11.659,4.791892 s,166 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,Success (Success),26 03 52 00
URB,0099,16:41:11.659,4.791902 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,
URB,0100-0099,16:41:11.660,4.792262 s,361 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00 69 00 76 00...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA80098009B0h,Success (Success),26 03 52 00 69 00 76 00 61 00 6C 00 20 00 47 00 61 00 6D 00 69 00 6E 00 67 00 20 00 4D 00 6F 00 75 00 73 00 65 00
PnP,0101,16:41:11.660,4.792356 s,,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AE6A010h,
PnP,0102,16:41:11.660,4.792360 s,,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AE6A010h,
PnP,0103-0102,16:41:11.660,4.792363 s,3 us,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AE6A010h,Success
PnP,0104-0101,16:41:11.660,4.792365 s,9 us,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AE6A010h,Success
PnP,0105,16:41:11.660,4.792711 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B773930h,
PnP,0106,16:41:11.660,4.792713 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B773930h,
PnP,0107-0106,16:41:11.660,4.792716 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B773930h,Success
PnP,0108-0105,16:41:11.660,4.792718 s,7 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B773930h,Success
PnP,0109,16:41:11.660,4.792741 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B3E8010h,
PnP,0110,16:41:11.660,4.792743 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B3E8010h,
PnP,0111-0110,16:41:11.660,4.792745 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B3E8010h,Success
PnP,0112-0109,16:41:11.660,4.792746 s,5 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B3E8010h,Success
PnP,0113,16:41:11.661,4.793008 s,,Start Device,,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA800AB91010h,
PnP,0114,16:41:11.661,4.793016 s,,Start Device,,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB91010h,
PnP,0115-0114,16:41:11.661,4.793033 s,17 us,Start Device,,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB91010h,Success
URB,0116,16:41:11.661,4.793045 s,,Get Descriptor from Device,Dvc,,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB96C10h,
URB,0117-0116,16:41:11.661,4.793051 s,6 us,Get Descriptor from Device,Dvc,12 01 10 01 00 00 00 40...,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB96C10h,Success (Success),12 01 10 01 00 00 00 40 38 10 84 13 04 01 01 02 00 01
URB,0118,16:41:11.661,4.793060 s,,Get Descriptor from Device,Cfg ind:0,,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB94C10h,
